event,chirp_mass,mass_ratio,mass_1_detector,mass_2_detector,luminosity_distance,redshift_sample,H0_sample,theta_jn,lambda_1,lambda_2,lambda_tilde,delta_a0,delta_a1,delta_a2
event_0054,0.0,1.0,0.0,1.0,0.10814521004355698,0.581550558224013,0.6675171873955577,0.06790968608291535,1.0,0.0,0.9962708498065829,0.4476938401095565,0.5530913440357323,0.4406281200969764
event_0055,0.15507327977235605,0.8570589843941425,0.14294101560585754,0.8570589843941425,0.0006835958747523993,0.6518567368747594,0.8639565927455501,0.9759032286363297,0.6422385447231012,0.08517705944830238,0.2261607321670019,0.5802384254422274,0.4364988307104415,0.546571278505102
event_0056,0.8945132935424229,0.7825658001786636,0.21743419982133638,0.7827525441403241,0.5481314140984208,0.7667592148654454,0.7630525195718975,0.9596527813573023,0.9668725030293459,0.6041449624374311,0.9809381904643562,0.5290149092307626,0.464897867091036,0.48782006598816874
event_0057,0.0729642969549126,0.998711129086886,0.0012888709131139812,0.998711129086886,0.6398151586196397,0.8149014034158073,0.7416300376356273,0.0,0.9950856412784124,0.20532769218367375,0.9162737554230158,0.43307954811100047,0.5655350357976578,0.5477306339306941
event_0058,0.5550665407819741,0.37590947220871856,0.6240905277912814,0.37590947220871856,0.0,0.410400243873158,0.8818138796313146,0.7441409948086047,0.5732535485714935,0.7134990954838983,0.6599089082904709,0.48037973450904387,0.6419630593979895,0.460617339905129
event_0059,0.12289948954282662,0.9532027289378686,0.04679727106213128,0.9532027289378686,0.9757385145891772,0.7680204990908637,0.6294291107047492,0.00017455089305060524,0.9209065895957897,0.08991022359481139,0.8294691858870877,0.5009622180118543,0.41910753376082965,0.5535088634512733
event_0060,0.00018484592087440076,1.0,0.0,1.0,0.12033466918056751,0.48834658958927,0.5521184203121212,0.0,0.9811457215444928,0.0010925529003549064,0.7038769194604904,0.46707069404909357,0.5225776310769708,0.49058318562947906
event_0061,0.013412153275939297,1.0,0.0,1.0,0.08395732560340138,0.8742059667245607,0.9367817449836002,1.0,1.0,0.40809025466094556,0.9958807151660045,0.4741811681735608,0.5807123801343952,0.5507356982196012
event_0062,0.07938248266390242,0.8138995118528363,0.18551410744360256,0.8137040523835568,0.11562141521606459,0.5479948620794026,0.6961300288426925,0.19275797280319534,0.4920006425796375,0.2701585193660234,0.3162825447627041,0.5180001217356187,0.46198880041289814,0.5154699567342851
event_0063,0.21280593712247836,0.9522611617118102,0.04792203344491527,0.9522611617118102,0.0003663903429257815,0.563446028395196,0.9457217982414442,0.583195619144567,0.8633246723148162,0.15087126019621339,0.6081462469332037,0.4181759823682975,0.476041552550752,0.49252781572341625
event_0064,0.130899358211253,0.9981370839527309,0.0018629160472689995,0.9981370839527309,0.26726099869331676,0.6087155498281698,0.6810270897986035,0.30516278607232306,0.9888080523082492,0.17789515192031796,0.8787541489877644,0.4368494372547526,0.5248828299854186,0.47575705541596436
event_0065,0.47794955449592524,0.329838804828522,0.6699645109925879,0.329838804828522,0.4225875830797039,0.5459408238272339,0.5449603275062523,0.999213668218704,0.33007151764474585,0.6477390362861539,0.4270005678811207,0.5275477143573832,0.4790378270436117,0.47567709701883587
event_0066,0.7948896354262213,0.7574468931122582,0.24275405475498293,0.7574468931122582,0.5054309219845783,0.7039841067978421,0.6892318101927317,0.9990367490492493,0.90150046564359,0.6563732163223837,0.955987117362584,0.5137695150679185,0.4899514828103382,0.5006199266590423
event_0067,0.6493859563002382,0.8781473590475026,0.12185264095249738,0.8781473590475026,0.008082374710840808,0.4846512075956558,0.6999887418123893,0.9985935008715403,0.936344554438973,0.5569175705186689,0.8228880075920987,0.44860530572288704,0.6055169624305514,0.42914958335171904
event_0068,0.22814598089521343,0.9276748444531672,0.07213228470446312,0.9276748444531672,0.9460035959019681,0.6198618702383698,0.5454145955058622,0.8082774138706031,0.6757835596996151,0.022914814767868566,0.13786560885142565,0.5060419224769708,0.39530806149723324,0.5133455806744427
event_0069,0.12531722783642613,0.7669439962985397,0.2328807551649245,0.7667687486354934,0.3420338737638371,0.5885102476809312,0.6484202362728881,0.01278542156644191,0.42813919410860607,0.1055315165983964,0.1666942201477929,0.5066936282610104,0.4193795965190848,0.5771769402918114
event_0070,0.14873858518240446,0.9826020885283234,0.017210827469604312,0.9824150021662783,0.8768320124572007,0.6657325997075139,0.5323814942567848,0.7167815245196496,0.9274105420823469,0.183198592872082,0.6649285934558676,0.4900721389385069,0.4540201258720809,0.5364665282245217
event_0071,0.4764444409927282,0.3177457462639859,0.6820789156599205,0.3177457462639859,0.469634025979777,0.6282664308439796,0.6122640664893069,0.5040610035357673,0.1257244476276594,0.2653334794853606,0.10051805898435302,0.5293139166344298,0.3701423756553691,0.641035369470691
event_0072,0.00021052295704768396,1.0,0.0,1.0,0.18100255558797174,0.6362390467533732,0.6888251598234383,0.35584224224301453,1.0,0.018722294128682985,0.9712264647656013,0.4371653264140105,0.6213556091418355,0.5292618050801736
event_0073,0.6776646350792758,0.2593469645086546,0.7406530354913454,0.2593469645086546,0.17993799191746473,0.699648275909561,0.7799019465846981,0.5746667988023935,0.9368425357202002,0.9764248662106256,0.9673980232939661,0.4230308174449918,0.6285295418444599,0.4170745287518891
event_0074,0.9226994358241839,0.32287250867893036,0.6771274913210698,0.32287250867893036,0.006322267441059948,0.5514457479407497,0.7549360510846073,0.623339379829042,0.5726231513225438,0.87232214472379,0.9292213274616619,0.48085644843545794,0.5672878187179982,0.5180040311075422
event_0075,0.10825067174185601,0.8064518373097849,0.19354816269021496,0.8064518373097849,0.20532420190903067,0.6568157843698489,0.7180987066934938,0.7875360710906881,0.5643661591549545,0.08793143678721008,0.21400365145226058,0.5294290665502795,0.3810848240241295,0.5786959045733212
event_0076,0.5303146009327566,0.7990744016779285,0.2009255983220713,0.7990744016779285,0.37662139464278355,0.6365668418295263,0.6517256293289746,0.6587965965696996,0.7422357885602078,0.18872617501391842,0.4740398205235089,0.525194388054711,0.4328951960393326,0.5171156771322175
event_0077,0.9549023049975404,0.2583042148390693,0.7422302756324342,0.2583042148390693,0.0008912070442203694,0.5543102086417793,0.8503467218774846,0.4406855284163557,0.4961439264875625,0.7734675683795575,0.6804289416878849,0.48261361644321443,0.4891586780054661,0.4458844032846695
event_0078,0.20865254319063228,0.6783344353906456,0.32166556460935425,0.6783344353906456,0.6746010657408049,0.7103388173046491,0.6650771207693276,0.7898740512385551,0.8044094440428073,0.6194516138714997,0.7957294818467855,0.5273085142631382,0.4312097666724304,0.4963547901036728
event_0079,0.3627872410458398,0.6612137537064242,0.33859401446215687,0.6612137537064242,0.1869438092180407,0.6481597577016867,0.6789471274756123,0.977146348584763,0.7373350083078721,0.4942367626269198,0.7414478430913624,0.4853324641577185,0.4812162413060509,0.5164210441968382
event_0080,0.382249602321462,0.7460510684977296,0.2539489315022705,0.7460510684977296,0.14404928088027477,0.5327394265168035,0.5860704872464255,0.09584364668487931,0.7640979518345075,0.3074743360330928,0.6509856672764542,0.5209684535739756,0.49800628647668344,0.4739022187253095
event_0081,0.2529174093531513,0.7549155706061166,0.24489293655982905,0.7549155706061166,0.0026855373777150272,0.6199358827621563,0.8325482683625453,0.016199771300562986,0.6794409786663718,0.2746313973306491,0.4130766944507014,0.48618981316421794,0.4633195130046852,0.5811256473155959
event_0082,0.00040387580260481024,0.9101372476031317,0.08966081525351777,0.9101372476031317,0.016356972016960968,0.35803694234615746,0.5720925708853353,0.0042407074019217995,0.5650245165292564,0.005655453694985476,0.040590800102389545,0.4826326694489236,0.5002025540681256,0.5205983498616552
event_0083,0.2134242499563141,0.934932741877566,0.0650672581224341,0.934932741877566,0.47381071422967597,0.6745052318786289,0.6617350029351708,0.5199649581144445,0.8386767760361963,0.35126029517952545,0.6497966234860556,0.5038861615064774,0.47277698708170424,0.5054801690038168
event_0084,0.23795146633413908,0.6350424746231541,0.364957525376846,0.6350424746231541,0.8031874037765687,0.6248159103128565,0.5996719986161579,0.810594955360246,0.6440785738015694,0.4273759414112338,0.6821006314552649,0.4994651287244933,0.46761439770736696,0.4974681326641476
event_0085,0.010676854172071091,0.9837057683201271,0.016294231679872824,0.9837057683201271,0.5732657291648581,0.6729146040193337,0.6517273266652325,0.15216302874169235,0.834704048473445,0.004372893315089706,0.164240304622561,0.5330095760291801,0.35667487709946977,0.5923683937956578
event_0086,0.19324347793162266,0.9778042540639329,0.022195745936067268,0.9778042540639329,0.5764422875969738,0.7984391021678507,0.7804679538058473,0.490697877199553,0.9720704901773866,0.38607661496258994,0.8221428768799551,0.49629895314608213,0.4704887776021738,0.49466844488443
event_0087,0.0,1.0,0.0,1.0,0.038982027728088786,0.6317915734543083,0.6966269608912423,0.42092504618965476,1.0,0.0,0.9943445741615508,0.4407190592898127,0.5843263727575521,0.5308018256669949
event_0088,0.0814826781344209,0.9881026237154545,0.011897376284545525,0.9879141532908083,0.3348208019735932,0.5717060365822333,0.5766104296874794,0.0007550686111257399,0.9709743570625651,0.12453034514365693,0.7408424472269489,0.45002984545691926,0.4775625133412472,0.46911076732157747
event_0089,0.7015368445089676,0.12007908923138816,0.8799209107686118,0.12007908923138816,0.003497916512260277,0.4882475822696042,0.7483156529205619,0.4604324536547134,0.1440577047526536,0.7599085317115044,0.33535197863914357,0.5351215707806399,0.49094631003023187,0.4970796351159077
event_0090,0.17831620885248128,0.9449672460326197,0.05503275396738026,0.9449672460326197,0.0023462801249204478,0.5014044225687619,0.7981920558821465,0.9924224110247553,0.8317891210445588,0.06979072334916768,0.42913003198785016,0.5088758236998627,0.5207964500289886,0.5140939080975837
event_0091,0.2073951994694472,0.9416460042085563,0.058353995791443666,0.9416460042085563,0.728945728623321,0.5942001291537609,0.5397538001900326,0.4138307080507806,0.8047381002855489,0.08792917768622459,0.38209463617636763,0.4974509072144292,0.4727848129625379,0.5372122668451598
event_0092,0.12594163125601943,0.9945064467984155,0.005493553201584442,0.9943029875170754,0.43417850656261003,0.5906463254087169,0.5916637311182233,0.5186147720858971,0.8697855271452044,0.0056931826746392826,0.2803621591880987,0.4907411964920536,0.44129903387252667,0.5385595137585484
event_0093,0.0188304934823693,0.8025561705409999,0.19744382945900024,0.8025561705409999,0.2595154208397054,0.5319832975466802,0.5750285161849099,0.0,0.8517291615162819,0.3330517308014327,0.8930988588365378,0.4939031316192401,0.5390372258459052,0.4753504903557784
event_0094,0.030004424053288625,0.9670385285477991,0.03296147145220099,0.9670385285477991,0.5586206349742717,0.5695417020568599,0.5371428832655947,0.5760392368921763,0.9093766936404801,0.17815983610766314,0.6673799705452276,0.4789381273796144,0.5260300089985135,0.5069544263525401
event_0095,0.2933838687960012,0.7963071758502605,0.2036928241497397,0.7963071758502605,0.8249314475083307,0.7756585556042164,0.7148107599051559,0.925561636265646,0.9051276855614164,0.6232245028439873,0.8258244074870464,0.4403231396267052,0.5949908702317026,0.5143274226961839
event_0096,0.21897755431180796,0.42419708672736456,0.5756216295541166,0.4240119654587543,0.000555369283138739,0.4670494451161231,0.7827752342955556,0.04546129939417622,0.6202253108074653,0.6343934492489095,0.6167964213624157,0.45534137695724985,0.5925128552110877,0.45332722711938134
event_0097,0.009057585651025272,0.9997893388121871,0.0002106611878129323,0.9997893388121871,0.035180141640381725,0.6515698576532686,0.7783868966641679,0.06340850653702193,0.9907309767868063,0.0006312080502675097,0.5437114742045123,0.48578085630467693,0.42827081976493514,0.5331792870265194
event_0098,0.7079152298142974,0.699508921070086,0.30049107892991384,0.699508921070086,0.22906298361789812,0.7012905201327782,0.7538194974091816,0.827087203509677,0.7839570494210002,0.4878904212052012,0.9277329456604508,0.5112591816706162,0.455917677327373,0.5619953952567729
event_0099,0.05553524007934472,0.9996334396351805,0.0003665603648194667,0.9996334396351805,0.841825308225413,0.6763193059269632,0.5991564939998271,0.14552806170479485,0.995967718470048,0.0021994080899094435,0.9079910930784423,0.46884123878294537,0.5183282470172662,0.5722140601806673
event_0100,0.3095924788601698,0.5612319982555021,0.438768001744498,0.5612319982555021,0.115358969466221,0.6685355202856866,0.751052885354802,0.28810624401311974,0.46275683942074525,0.3604569637078253,0.28752000346439077,0.507488762754592,0.4161119140250788,0.5487422554939023
