event,n_samples,frac_in_support,ess_base_fullL,ess_new_reweighted,ess_new_frac
event_0068,5185,1.0,5184.800016544634,4138.207046961432,0.7981112916029762
event_0069,5707,0.4328018223234624,5705.791264527488,1061.3888537056614,0.18598017412049436
event_0070,5347,0.9762483635683561,5345.028798512687,2224.590143553911,0.4160445377882758
event_0071,5703,0.9431877958968964,5701.917235419812,2957.612818441185,0.5186064910470253
event_0072,5039,0.9801547926175829,5038.985856995613,1286.176760497863,0.2552444454252556
event_0073,5436,0.858167770419426,5284.113455195421,3829.924874708937,0.7045483581142268
event_0074,5178,0.6579760525299343,5165.469355433271,1915.835342453182,0.3699952380172232
event_0075,5172,0.3213457076566125,5171.957176030277,1224.4560411309537,0.23674710772060203
event_0076,5082,1.0,5081.993047644965,2993.7027395353944,0.5890796417818565
event_0077,5613,0.06199893105291288,5604.310886631175,281.07469559533695,0.050075662853257964
event_0078,5163,0.758667441410033,5142.438654669329,2463.143134245948,0.47707595085143295
event_0079,5204,1.0,5203.234385775362,3759.5089920164646,0.7224267855527411
event_0080,5269,1.0,5268.999414439279,4938.643384791607,0.9373018380701474
event_0081,5220,0.004022988505747126,5218.9625544115825,15.892347882819456,0.003044511088662731
event_0082,4952,1.0,4951.999976571928,1696.6125035967716,0.34261157180871804
