event,chirp_mass,mass_ratio,mass_1_detector,mass_2_detector,luminosity_distance,theta_jn,redshift_sample,H0_sample,lambda_1,lambda_2,lambda_tilde,delta_a0,delta_a1,delta_a2
event_0085,0.026001346092621922,0.9498436309762497,0.050156369023750424,0.9498436309762497,0.7047624718028616,0.18763049311117486,0.656122203520169,0.6197329753778587,0.6461588875377001,0.01164103492368542,0.08713121961153245,0.5131023045478003,0.3366220049633931,0.5898964487003733
event_0086,0.34897132935614494,0.9036709322853699,0.0963290677146302,0.9036709322853699,0.809088394438637,0.3319470358226066,0.7921870655597486,0.7388367016004104,0.8938733103862514,0.4883497566065876,0.7055802033078268,0.508385110641534,0.4690020097696234,0.5662997593692094
event_0087,0.0,1.0,0.0,1.0,0.022192382749803247,0.3919680032585042,0.6623016003444264,0.7310045278437466,1.0,0.0,0.9397918787143928,0.490280948439538,0.526102491877831,0.5282797257705426
event_0088,0.11723096996907345,0.9779836033238084,0.022016396676191683,0.9776507969664825,0.2966111376556896,0.0006163928340316258,0.5724165348445857,0.5844120185107056,0.947240575410446,0.18530879190364682,0.6910731178873257,0.4598813973118869,0.4714346083482095,0.469367328017009
event_0089,0.7826976539671174,0.011747428889200702,0.9882525711107993,0.011747428889200702,0.021326024600988775,0.5496398875139799,0.5047354916599729,0.7295652363386522,0.05943444574736509,0.8649555639039143,0.3228398911267729,0.5326165609651317,0.4695431194288996,0.48894569653877523
event_0090,0.4221329424810417,0.8264737110440962,0.17352628895590375,0.8264737110440962,0.04016384727832337,0.9083179749328065,0.635246834782234,0.7562315766402221,0.5941084781232291,0.17512209664906384,0.33249427490197603,0.6993397257352432,0.4913735741144554,0.5443758968452281
event_0091,0.25140418541097287,0.9007031055821533,0.09929689441784674,0.9007031055821533,0.49511058808039377,0.653078845072355,0.5730480335570964,0.5603328692953445,0.7174571083045027,0.1273439872581005,0.35591550422847323,0.5057931240195827,0.48231486939491397,0.5319593598087706
event_0092,0.18183708370876617,0.9905262972332864,0.009473702766713697,0.9901949596533633,0.5147115699364,0.6014942292563955,0.5957824218756926,0.5841385656309861,0.7833169101789297,0.010002163024394656,0.21712616705002274,0.503546119476121,0.4407813581574009,0.5446936488721319
event_0093,0.03818752803627854,0.5791501319735934,0.42084986802640656,0.5791501319735934,0.39634770793342133,0.0,0.5444671112684707,0.5620566205877262,0.6781751522089674,0.5844648011527694,0.8430673262652657,0.4920520087611935,0.5210455748349223,0.47835430684645275
event_0094,0.07611008214615689,0.8542003558302054,0.14579964416979468,0.8542003558302054,0.7201920975431795,0.7299268215575994,0.6342486851465831,0.6041097565554736,0.741749731175008,0.3566088080574972,0.5752357196746825,0.4940474739775502,0.46462324783659803,0.5257560812388109
event_0095,0.5972323392997234,0.38949210979836435,0.6105078902016357,0.38949210979836435,0.7654795367711666,0.8884348665077665,0.7976964365606325,0.7538151570781078,0.8073562679722392,0.8340165755508315,0.8123857665606755,0.49334508739422434,0.5830869319395436,0.4229066319874918
event_0096,0.2509088160433701,0.2105305200260379,0.7894694799739621,0.2105305200260379,0.0051817771450479,0.1485978352890754,0.4610642100788447,0.6504961850531503,0.49761831558048797,0.6397353574701408,0.542438844907283,0.5051685854712705,0.5343198974380483,0.43515836329983826
event_0097,0.03203112990024989,0.9995797768116191,0.0004202231883809077,0.9995797768116191,0.07319413564545436,0.11676811075680452,0.6492065603208574,0.7463379048375658,0.961676914394377,0.0021928601052086496,0.31629501816556854,0.47921361954571606,0.42990133962858035,0.5695265838183952
event_0098,0.8303999278167914,0.5327946848657918,0.46720531513420815,0.5327946848657918,0.39878995109118176,0.7009398647631551,0.7253151557498894,0.7454682941349258,0.6529916391269566,0.6798195658693422,0.913825910523916,0.5138396997368145,0.44793068819068493,0.5802787989821591
event_0099,0.09765926749126211,0.9991220796651635,0.0008779203348362537,0.9991220796651635,0.8712775915186648,0.11692610303413958,0.6685535491928074,0.5778976554955728,0.9910379000190908,0.004797428512439425,0.8698131714534025,0.47024220456763655,0.5299997036279995,0.5802830841185149
event_0100,0.397264481434796,0.3741798574542802,0.6258201425457199,0.3741798574542802,0.11261466364749126,0.2894349461702792,0.6541171619083642,0.7386457936707589,0.27993270766246103,0.5124192405956887,0.23387446317534427,0.49932842822595785,0.3956709682590571,0.5317136151242541
